Date,Clics,Impressions,CTR,Position
2025-04-08,2,15,13.33%,19.13
2025-04-07,0,14,0%,15.07
2025-04-06,0,12,0%,26.08
2025-04-05,0,7,0%,12.14
2025-04-04,0,20,0%,15.65
2025-04-03,2,26,7.69%,13.46
2025-04-02,0,21,0%,16.95
2025-04-01,4,19,21.05%,11.47
2025-03-31,1,23,4.35%,8.87
2025-03-30,0,9,0%,25.56
2025-03-29,0,16,0%,22.75
2025-03-28,2,14,14.29%,13.21
2025-03-27,1,15,6.67%,19.67
2025-03-26,2,21,9.52%,19.86
2025-03-25,1,13,7.69%,21.69
2025-03-24,2,21,9.52%,12
2025-03-23,0,16,0%,19
2025-03-22,1,24,4.17%,13
2025-03-21,2,21,9.52%,8.76
2025-03-20,1,25,4%,20.24
2025-03-19,2,22,9.09%,24
2025-03-18,0,26,0%,19.12
2025-03-17,1,21,4.76%,17.9
2025-03-16,2,20,10%,17.65
2025-03-15,0,15,0%,31.87
2025-03-14,1,18,5.56%,10.89
2025-03-13,0,19,0%,21.95
2025-03-12,2,35,5.71%,12.49
2025-03-11,1,28,3.57%,16.14
2025-03-10,3,22,13.64%,23.14
2025-03-09,0,10,0%,23.8
2025-03-08,0,16,0%,41.94
2025-03-07,0,9,0%,27.44
2025-03-06,2,22,9.09%,11.09
2025-03-05,0,19,0%,14.95
2025-03-04,5,34,14.71%,15.53
2025-03-03,3,26,11.54%,11.04
2025-03-02,1,10,10%,27.1
2025-03-01,1,11,9.09%,29.45
2025-02-28,2,18,11.11%,24.67
2025-02-27,3,24,12.5%,13.92
2025-02-26,0,36,0%,20.97
2025-02-25,1,18,5.56%,19.5
2025-02-24,1,22,4.55%,17.27
2025-02-23,1,21,4.76%,17.48
2025-02-22,0,19,0%,19.32
2025-02-21,3,20,15%,14.75
2025-02-20,1,22,4.55%,12.32
2025-02-19,1,20,5%,8.15
2025-02-18,2,22,9.09%,9.45
2025-02-17,2,17,11.76%,12.47
2025-02-16,1,14,7.14%,19.93
2025-02-15,0,11,0%,19.82
2025-02-14,1,21,4.76%,16.62
2025-02-13,1,28,3.57%,17.61
2025-02-12,0,15,0%,10.93
2025-02-11,1,20,5%,6.35
2025-02-10,2,18,11.11%,6.28
2025-02-09,0,4,0%,8.25
2025-02-08,0,11,0%,6.55
2025-02-07,1,15,6.67%,5.13
2025-02-06,0,9,0%,4.78
2025-02-05,0,13,0%,7.08
2025-02-04,0,11,0%,12.45
2025-02-03,0,22,0%,5.86
2025-02-02,0,4,0%,25.5
2025-02-01,0,6,0%,18.33
2025-01-31,0,11,0%,8.27
2025-01-30,0,11,0%,10.73
2025-01-29,1,24,4.17%,7.92
2025-01-28,1,14,7.14%,5.21
2025-01-27,0,9,0%,6.22
2025-01-26,0,7,0%,10.57
2025-01-25,0,12,0%,18.25
2025-01-24,0,16,0%,9.06
2025-01-23,1,17,5.88%,19.29
2025-01-22,3,15,20%,7.8
2025-01-21,0,7,0%,8.43
2025-01-20,4,25,16%,6.16
2025-01-19,0,6,0%,8.33
2025-01-18,0,10,0%,7.4
2025-01-17,0,9,0%,22.44
2025-01-16,1,12,8.33%,6.5
2025-01-15,0,11,0%,5.64
2025-01-14,0,14,0%,8.5
2025-01-13,1,11,9.09%,6.09
2025-01-12,1,12,8.33%,22.25
2025-01-11,0,13,0%,9.31
2025-01-10,1,10,10%,10.3
2025-01-09,0,10,0%,26
